Var1_1,Var1_2,Var1_3
0,0,0
0.001,0,0
0.002,0,0
0.003,0,0
0.004,0,0
0.005,4,0
0.006,4,0
0.007,4,0
0.008,4,0
0.009,4,0.1451
0.01,4,0.1451
0.011,4,0.1942
0.012,4,0.2644
0.013,4,0.2644
0.014,4,0.2742
0.015,4,0.3385
0.016,4,0.3129
0.017,4,0.4105
0.018,4,0.4449
0.019,4,0.4428
0.02,4,0.3675
0.021,4,0.4866
0.022,4,0.4401
0.023,4,0.5839
0.024,4,0.573
0.025,4,0.4986
0.026,4,0.5395
0.027,4,0.6101
0.028,4,0.6226
0.029,4,0.5532
0.03,4,0.6622
0.031,4,0.6693
0.032,4,0.6844
0.033,4,0.6196
0.034,4,0.6194
0.035,4,0.6152
0.036,4,0.7295
0.037,4,0.7602
0.038,4,0.7568
0.039,4,0.7909
0.04,4,0.7835
0.041,4,0.8072
0.042,4,0.6906
0.043,4,0.7647
0.044,4,0.734
0.045,4,0.7278
0.046,4,0.7688
0.047,4,0.6876
0.048,4,0.8228
0.049,4,0.6792
0.05,4,0.757
0.051,4,0.8652
0.052,4,0.7744
0.053,4,0.821
0.054,4,0.8013
0.055,4,0.8478
0.056,4,0.8968
0.057,4,0.8592
0.058,4,0.8873
0.059,4,0.8962
0.06,4,0.8673
0.061,4,0.8785
0.062,4,0.9211
0.063,4,0.7854
0.064,4,0.9396
0.065,4,0.923
0.066,4,0.9564
0.067,4,0.9465
0.068,4,0.9443
0.069,4,0.8867
0.07,4,1.0005
0.071,4,0.895
0.072,4,0.9469
0.073,4,0.9547
0.074,4,0.959
0.075,4,0.9546
0.076,4,0.9777
0.077,4,1.0098
0.078,4,0.9396
0.079,4,0.9457
0.08,4,0.9365
0.081,4,1.0405
0.082,4,1.0007
0.083,4,0.9382
0.084,4,0.9963
0.085,4,1.0022
0.086,4,1.0345
0.087,4,0.9839
0.088,4,1.0157
0.089,4,1.0119
0.09,4,1.0725
0.091,4,0.9784
0.092,4,1.0811
0.093,4,1.0484
0.094,4,1.0605
0.095,4,0.9889
0.096,4,1.0726
0.097,4,1.0591
0.098,4,1.0096
0.099,4,0.9987
0.1,4,1.1082
0.101,4,1.064
0.102,4,0.9918
0.103,4,1.0872
0.104,4,1.0523
0.105,4,1.0339
0.106,4,1.0274
0.107,4,1.0831
0.108,4,1.1153
0.109,4,0.9876
0.11,4,1.0636
0.111,4,1.0636
0.112,4,1.0557
0.113,4,1.0879
0.114,4,1.0824
0.115,4,1.0415
0.116,4,1.0916
0.117,4,1.0931
0.118,4,1.1201
0.119,4,1.0927
0.12,4,1.1294
0.121,4,1.0829
0.122,4,1.0878
0.123,4,1.1172
0.124,4,1.0592
0.125,4,1.1172
0.126,4,1.1494
