f_Hz,S21_dB
1000,-16.9519
1011.58,-17.0121
1023.29,-17.0717
1035.14,-17.1308
1047.13,-17.1895
1059.25,-17.2476
1071.52,-17.3051
1083.93,-17.3622
1096.48,-17.4187
1109.17,-17.4747
1122.02,-17.5302
1135.01,-17.5851
1148.15,-17.6395
1161.45,-17.6934
1174.9,-17.7467
1188.5,-17.7995
1202.26,-17.8517
1216.19,-17.9035
1230.27,-17.9546
1244.51,-18.0053
1258.93,-18.0554
1273.5,-18.1049
1288.25,-18.154
1303.17,-18.2025
1318.26,-18.2504
1333.52,-18.2978
1348.96,-18.3447
1364.58,-18.391
1380.38,-18.4368
1396.37,-18.4821
1412.54,-18.5268
1428.89,-18.5711
1445.44,-18.6147
1462.18,-18.6579
1479.11,-18.7005
1496.24,-18.7426
1513.56,-18.7842
1531.09,-18.8253
1548.82,-18.8658
1566.75,-18.9059
1584.89,-18.9454
1603.25,-18.9845
1621.81,-19.023
1640.59,-19.061
1659.59,-19.0986
1678.8,-19.1356
1698.24,-19.1722
1717.91,-19.2083
1737.8,-19.2439
1757.92,-19.279
1778.28,-19.3137
1798.87,-19.3479
1819.7,-19.3816
1840.77,-19.4149
1862.09,-19.4477
1883.65,-19.4801
1905.46,-19.512
1927.52,-19.5435
1949.84,-19.5746
1972.42,-19.6052
1995.26,-19.6354
2018.37,-19.6653
2041.74,-19.6947
2065.38,-19.7237
2089.3,-19.7523
2113.49,-19.7805
2137.96,-19.8083
2162.72,-19.8357
2187.76,-19.8628
2213.09,-19.8895
2238.72,-19.9158
2264.64,-19.9418
2290.87,-19.9674
2317.39,-19.9927
2344.23,-20.0176
2371.37,-20.0423
2398.83,-20.0665
2426.61,-20.0905
2454.71,-20.1142
2483.13,-20.1375
2511.89,-20.1606
2540.97,-20.1833
2570.4,-20.2058
2600.16,-20.228
2630.27,-20.2499
2660.73,-20.2716
2691.53,-20.293
2722.7,-20.3141
2754.23,-20.335
2786.12,-20.3557
2818.38,-20.3761
2851.02,-20.3963
2884.03,-20.4162
2917.43,-20.436
2951.21,-20.4555
2985.38,-20.4749
3019.95,-20.494
3054.92,-20.513
3090.3,-20.5318
3126.08,-20.5504
3162.28,-20.5689
3198.9,-20.5871
3235.94,-20.6053
3273.41,-20.6233
3311.31,-20.6411
3349.65,-20.6588
3388.44,-20.6764
3427.68,-20.6939
3467.37,-20.7112
3507.52,-20.7285
3548.13,-20.7456
3589.22,-20.7627
3630.78,-20.7797
3672.82,-20.7965
3715.35,-20.8134
3758.37,-20.8301
3801.89,-20.8468
3845.92,-20.8634
3890.45,-20.88
3935.5,-20.8966
3981.07,-20.9131
4027.17,-20.9296
4073.8,-20.946
4120.98,-20.9625
4168.69,-20.9789
4216.97,-20.9954
4265.8,-21.0118
4315.19,-21.0283
4365.16,-21.0448
4415.7,-21.0613
4466.84,-21.0779
4518.56,-21.0944
4570.88,-21.1111
4623.81,-21.1278
4677.35,-21.1445
4731.51,-21.1613
4786.3,-21.1782
4841.72,-21.1952
4897.79,-21.2123
4954.5,-21.2294
5011.87,-21.2467
5069.91,-21.264
5128.61,-21.2815
5188,-21.2991
5248.07,-21.3168
5308.84,-21.3347
5370.32,-21.3527
5432.5,-21.3708
5495.41,-21.3891
5559.04,-21.4076
5623.41,-21.4262
5688.53,-21.445
5754.4,-21.464
5821.03,-21.4832
5888.44,-21.5025
5956.62,-21.5221
6025.6,-21.5419
6095.37,-21.5619
6165.95,-21.5821
6237.35,-21.6025
6309.57,-21.6232
6382.63,-21.6441
6456.54,-21.6653
6531.31,-21.6867
6606.93,-21.7084
6683.44,-21.7304
6760.83,-21.7526
6839.12,-21.7751
6918.31,-21.7979
6998.42,-21.821
7079.46,-21.8444
7161.43,-21.8682
7244.36,-21.8922
7328.25,-21.9165
7413.1,-21.9412
7498.94,-21.9662
