n,f_Hz,ltspice_dBuV,hand_dBuV
1,300000,100.335,100.601
2,600000,93.8274,94.1685
3,900000,73.5075,72.186
4,1.2e+06,82.7855,83.9564
5,1.5e+06,80.9291,82.464
6,1.8e+06,66.6275,67.9622
7,2.1e+06,70.8109,74.0783
8,2.4e+06,70.4093,74.89
9,2.7e+06,57.5517,64.2637
10,3e+06,59.7157,66.2163
11,3.3e+06,59.5495,68.962
12,3.6e+06,51.1726,60.8938
13,3.9e+06,53.9367,59.0397
14,4.2e+06,61.604,63.7563
15,4.5e+06,60.0348,57.5844
16,4.8e+06,51.5311,51.744
17,5.1e+06,64.3342,58.7817
18,5.4e+06,63.7856,54.1202
19,5.7e+06,44.4651,43.4725
20,6e+06,65.2443,53.7072
21,6.3e+06,65.8876,50.32
22,6.6e+06,48.734,32.3571
23,6.9e+06,65.1965,48.3415
24,7.2e+06,67.1865,46.1808
25,7.5e+06,56.2099,4.09906
26,7.8e+06,64.4649,43.1777
27,8.1e+06,67.9834,42.8143
28,8.4e+06,60.4098,25.5871
29,8.7e+06,63.0722,40.5262
30,9e+06,68.4106,42.6181
31,9.3e+06,63.1869,31.6437
32,9.6e+06,60.8456,40.4802
33,9.9e+06,68.5322,44.2113
34,1.02e+07,65.1601,36.3642
35,1.05e+07,57.2344,40.4804
36,1.08e+07,68.377,45.5959
37,1.11e+07,66.6023,39.7788
38,1.14e+07,50.106,39.6884
39,1.17e+07,67.9491,46.4503
40,1.2e+07,67.6562,42.2228
41,1.23e+07,42.9997,37.8955
42,1.26e+07,67.227,46.8416
43,1.29e+07,68.4,43.9785
44,1.32e+07,55.0292,34.6705
45,1.35e+07,66.1615,46.8497
46,1.38e+07,68.879,45.2273
47,1.41e+07,59.936,28.2928
48,1.44e+07,64.662,46.5246
49,1.47e+07,69.1215,46.0835
50,1.5e+07,62.9346,11.5265
51,1.53e+07,62.5445,45.8889
52,1.56e+07,69.1389,46.6197
53,1.59e+07,65.004,30.4342
54,1.62e+07,59.4026,44.9414
55,1.65e+07,68.9326,46.8831
56,1.68e+07,66.4982,35.6965
57,1.71e+07,54.0259,43.6564
58,1.74e+07,68.4957,46.904
59,1.77e+07,67.5882,38.6537
60,1.8e+07,37.5919,41.9752
61,1.83e+07,67.8058,46.7007
62,1.86e+07,68.365,40.5469
63,1.89e+07,51.9656,39.7838
64,1.92e+07,66.8221,46.2824
65,1.95e+07,68.8825,41.7914
66,1.98e+07,58.4129,36.8509
67,2.01e+07,65.4695,45.6509
68,2.04e+07,69.171,42.5758
69,2.07e+07,61.9465,32.6227
70,2.1e+07,63.6099,44.8007
71,2.13e+07,69.2459,42.9998
72,2.16e+07,64.2971,25.1141
73,2.19e+07,60.9608,43.7187
74,2.22e+07,69.1118,43.1197
75,2.25e+07,65.9797,11.8126
76,2.28e+07,56.7899,42.3821
77,2.31e+07,68.7588,42.9668
78,2.34e+07,67.2094,26.9987
79,2.37e+07,47.9668,40.7554
80,2.4e+07,68.1693,42.5566
81,2.43e+07,68.1002,31.3737
82,2.46e+07,46.3879,38.7838
83,2.49e+07,67.3086,41.8918
84,2.52e+07,68.716,33.5611
85,2.55e+07,56.2624,36.3802
86,2.58e+07,66.1153,40.9641
87,2.61e+07,69.0929,34.6748
88,2.64e+07,60.6629,33.3978
89,2.67e+07,64.482,39.7527
90,2.7e+07,69.251,35.0754
91,2.73e+07,63.4228,29.5591
92,2.76e+07,62.1974,38.2208
93,2.79e+07,69.196,34.9012
94,2.82e+07,65.3458,24.2255
95,2.85e+07,58.7887,36.308
96,2.88e+07,68.9271,34.1853
97,2.91e+07,66.7427,15.1127
98,2.94e+07,52.7004,33.9136
99,2.97e+07,68.4277,32.878
100,3e+07,67.7572,3.46267
