n,f_Hz,ltspice_dBuV
1,300000,66.503
2,600000,67.0549
3,900000,51.233
4,1.2e+06,65.5149
5,1.5e+06,67.7173
6,1.8e+06,57.6379
7,2.1e+06,64.1379
8,2.4e+06,68.0309
9,2.7e+06,61.134
10,3e+06,62.163
11,3.3e+06,68.0904
12,3.6e+06,63.4381
13,3.9e+06,59.2916
14,4.2e+06,67.9205
15,4.5e+06,65.0711
16,4.8e+06,54.6209
17,5.1e+06,67.5195
18,5.4e+06,66.254
19,5.7e+06,43.4344
20,6e+06,66.8681
21,6.3e+06,67.0991
22,6.6e+06,48.5649
23,6.9e+06,65.9266
24,7.2e+06,67.6682
25,7.5e+06,56.3684
26,7.8e+06,64.6245
27,8.1e+06,67.9965
28,8.4e+06,60.2936
29,8.7e+06,62.8333
30,9e+06,68.1021
31,9.3e+06,62.8285
32,9.6e+06,60.2945
33,9.9e+06,67.9907
34,1.02e+07,64.6133
35,1.05e+07,56.3719
36,1.08e+07,67.6566
37,1.11e+07,65.9074
38,1.14e+07,48.6172
39,1.17e+07,67.0809
40,1.2e+07,66.8382
41,1.23e+07,43.3461
42,1.26e+07,66.2289
43,1.29e+07,67.4784
44,1.32e+07,54.5242
45,1.35e+07,65.0516
46,1.38e+07,67.8811
47,1.41e+07,59.2043
48,1.44e+07,63.446
49,1.47e+07,68.0629
50,1.5e+07,62.0836
51,1.53e+07,61.2
52,1.56e+07,68.026
53,1.59e+07,64.0738
54,1.62e+07,57.8546
55,1.65e+07,67.7693
56,1.68e+07,65.5117
57,1.71e+07,51.9682
58,1.74e+07,67.2803
59,1.77e+07,66.5564
60,1.8e+07,36.3599
61,1.83e+07,66.5312
62,1.86e+07,67.2936
63,1.89e+07,52.2009
64,1.92e+07,65.4725
65,1.95e+07,67.772
66,1.98e+07,57.9663
67,2.01e+07,64.0175
68,2.04e+07,68.0188
69,2.07e+07,61.2676
70,2.1e+07,62.0043
71,2.13e+07,68.0472
72,2.16e+07,63.4908
73,2.19e+07,59.0894
74,2.22e+07,67.8584
75,2.25e+07,65.0822
76,2.28e+07,54.333
77,2.31e+07,67.4425
78,2.34e+07,66.2398
79,2.37e+07,43.0931
80,2.4e+07,66.7764
81,2.43e+07,67.0665
82,2.46e+07,49.165
83,2.49e+07,65.8182
84,2.52e+07,67.6204
85,2.55e+07,56.5369
86,2.58e+07,64.4949
87,2.61e+07,67.9346
88,2.64e+07,60.3611
89,2.67e+07,62.6746
90,2.7e+07,68.0263
91,2.73e+07,62.8483
92,2.76e+07,60.0912
93,2.79e+07,67.9004
94,2.82e+07,64.6033
95,2.85e+07,56.0868
96,2.88e+07,67.5509
97,2.91e+07,65.8758
98,2.94e+07,48.1576
99,2.97e+07,66.9595
100,3e+07,66.7911
